date,high,low,open,close,volume,quoteVolume,weightedAverage
1674216000000,21220.00,20958.42,20962.58,21142.21,30.891553,651438.02,21088
1674230400000,21500.00,21139.52,21142.22,21477.50,65.170844,1391509.22,21351.93
1674244800000,22734.05,21488.41,21488.41,22670.95,60.871948,1350436.28,22189.95
1674259200000,22772.50,22451.94,22661.48,22555.97,43.886135,991039.5,22582.13
1674273600000,22655.77,22531.88,22547.36,22639.42,9.883049,223439.11,22608.34
1674288000000,23315.97,22609.71,22631.68,22901.11,78.965232,1813077.49,22962.5
1674302400000,23271.09,22855.67,22905.47,22994.22,58.742171,1350593.43,22992.26
1674316800000,23342.93,22991.03,22994.22,23279.02,42.161913,978555.21,23209.66
1674331200000,23295.57,22700.00,23274.10,22788.91,46.790965,1079243.29,23066.18
1674345600000,22960.55,22614.90,22788.91,22757.39,23.501935,535652.88,22792.04
1674360000000,22960.77,22722.74,22757.20,22896.67,16.563676,378808.23,22869.95
1674374400000,22931.09,22740.00,22896.31,22778.81,19.967751,456529.35,22863.4
1674388800000,23075.01,22662.86,22777.76,22793.72,41.162333,941520.2,22873.66
1674403200000,22940.00,22702.36,22790.42,22718.87,60.243614,1375973.12,22840.25
1674417600000,22771.96,22318.63,22718.87,22709.09,69.722467,1570211.01,22521.27
1674432000000,22813.57,22659.29,22708.91,22662.27,18.405718,418511.69,22738.17
1674446400000,22794.03,22617.41,22665.99,22695.12,24.806976,563561.25,22717.89
1674460800000,22947.50,22673.11,22694.34,22908.06,23.732395,541592.41,22821.07
1674475200000,23126.04,22513.71,22908.07,22861.59,31.406848,717042.26,22831.3
1674489600000,23170.00,22653.99,22861.57,22788.73,66.397755,1520667.8,22902.98
1674504000000,23029.37,22754.72,22786.74,22910.76,69.610593,1596299.53,22932
1674518400000,23137.85,22869.07,22904.12,23074.12,17.685714,407096.1,23018.55
1674532800000,23154.85,23019.47,23074.53,23049.26,19.289037,445363.25,23088.96
1674547200000,23089.39,22785.66,23049.29,22906.74,21.753894,498673.58,22923.62
1674561600000,23030.12,22738.98,22906.21,22931.68,36.186435,828000.01,22881.63
1674576000000,23055.93,22798.17,22932.41,23011.52,62.403917,1432386.55,22953.6
1674590400000,23071.53,22469.50,23011.52,22635.69,75.90382,1731690.74,22815.32
1674604800000,22696.71,22339.85,22636.66,22639.68,59.24637,1336539.65,22559.25
1674619200000,22740.38,22606.73,22636.63,22717.41,21.521444,487859.32,22668.57
1674633600000,22732.59,22492.84,22717.72,22598.25,17.514805,396311.38,22627.32
1674648000000,22732.59,22358.79,22598.26,22573.20,17.267019,390510.85,22616.35
1674662400000,22760.00,22517.32,22573.56,22750.83,16.680162,377460.89,22629.49
1674676800000,23787.00,22749.14,22749.14,23059.58,57.67915,1341576.11,23262.15
1674691200000,23261.76,23052.02,23073.63,23138.97,14.381204,333205.77,23169.61
1674705600000,23195.07,22931.30,23138.92,22972.05,28.180977,651582.97,23121.52
1674720000000,23052.21,22860.00,22963.86,22983.30,18.881814,433760.23,22972.44
1674734400000,23241.48,22907.06,22983.25,22952.49,34.837722,803456.55,23063.14
1674748800000,23100.00,22880.00,22952.29,23076.72,21.170362,487145.83,23010.84
1674763200000,23167.41,22967.17,23076.73,23003.65,14.890963,343254.83,23051.29
1674777600000,23075.31,22537.69,23003.65,22774.42,26.847464,611747.48,22786.65
1674792000000,23086.86,22764.69,22774.34,23071.33,17.480765,400765.1,22926.43
1674806400000,23072.81,22907.13,23071.53,22968.09,17.737119,407255.56,22960.67
1674820800000,23143.05,22850.00,22968.21,22954.43,26.721124,613569.17,22962.1
1674835200000,23271.88,22936.55,22948.50,23244.41,22.969808,531545.53,23141.25
1674849600000,23487.36,22953.64,23235.64,23075.07,21.163092,489629.64,23136.66
1674864000000,23180.23,23043.62,23073.04,23117.39,13.633256,315086.35,23111.62
1674878400000,23138.48,22960.21,23113.89,22996.35,30.506526,702801.26,23037.78
1674892800000,23029.24,22923.69,22996.69,22978.89,11.761511,270361.56,22986.98
1674907200000,23039.39,22891.62,22980.35,23019.52,14.719791,338108.89,22969.73
1674921600000,23048.13,22974.29,23009.35,23033.21,13.036544,300013.45,23013.27
1674936000000,23033.26,22946.48,23033.24,23020.22,14.988036,344647.11,22994.82
1674950400000,23470.05,22970.70,23013.08,23193.36,31.187596,725476.23,23262.58
1674964800000,23263.85,23152.29,23194.28,23201.59,16.869616,391518.13,23208.49
1674979200000,23589.31,23154.71,23201.81,23429.01,24.60494,574449.71,23347.44
